2019-05-28 09:41:48,797 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:41:48,799 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:41:48,914 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:41:48,996 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 09:41:49,020 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://transformInput
2019-05-28 09:41:49,021 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 09:41:49,022 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.226 seconds
2019-05-28 09:41:49,032 | INFO | CamelLogger.java 159 | 1*b*c*d*e
2019-05-28 09:41:54,040 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 09:41:54,040 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 09:41:54,043 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://transformInput
2019-05-28 09:41:54,043 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 09:41:54,065 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.270 seconds
2019-05-28 09:41:54,065 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.025 seconds
2019-05-28 09:51:39,179 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:51:39,181 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:51:39,300 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:51:39,378 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 09:51:39,400 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://beanInput
2019-05-28 09:51:39,400 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 09:51:39,402 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.223 seconds
2019-05-28 09:51:58,108 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 09:51:58,110 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 09:51:58,226 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 09:51:58,305 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 09:51:58,326 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://beanInput
2019-05-28 09:51:58,327 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 09:51:58,328 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.221 seconds
2019-05-28 09:51:58,339 | INFO | CamelLogger.java 159 | 1*b*c*d*e
2019-05-28 09:52:03,340 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 09:52:03,340 | INFO | DefaultShutdownStrategy.java 195 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2019-05-28 09:52:03,344 | INFO | DefaultShutdownStrategy.java 671 | Route: route1 shutdown complete, was consuming from: direct://beanInput
2019-05-28 09:52:03,344 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2019-05-28 09:52:03,356 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 5.250 seconds
2019-05-28 09:52:03,356 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.016 seconds
2019-05-28 10:15:41,435 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:15:41,437 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:15:41,557 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:15:41,621 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 10:15:41,637 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 0.202 seconds
2019-05-28 10:15:41,637 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.016 seconds
2019-05-28 10:16:08,339 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:16:08,341 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:16:08,457 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:16:08,519 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 10:16:08,534 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 0.195 seconds
2019-05-28 10:16:08,534 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.015 seconds
2019-05-28 10:18:58,926 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:18:58,928 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:18:59,042 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:18:59,099 | INFO | DefaultCamelContext.java 3497 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutting down
2019-05-28 10:18:59,114 | INFO | DefaultCamelContext.java 3588 | Apache Camel 2.20.1 (CamelContext: camel-1) uptime 0.189 seconds
2019-05-28 10:18:59,115 | INFO | DefaultCamelContext.java 3589 | Apache Camel 2.20.1 (CamelContext: camel-1) is shutdown in 0.016 seconds
2019-05-28 10:20:56,338 | INFO | DefaultCamelContext.java 3146 | Apache Camel 2.20.1 (CamelContext: camel-1) is starting
2019-05-28 10:20:56,340 | INFO | ManagedManagementStrategy.java 205 | JMX is enabled
2019-05-28 10:20:56,453 | INFO | DefaultTypeConverter.java 66 | Type converters loaded (core: 192, classpath: 0)
2019-05-28 10:20:56,525 | INFO | DefaultCamelContext.java 3466 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2019-05-28 10:20:56,633 | INFO | DefaultCamelContext.java 4026 | Route: route1 started and consuming from: direct://csvinput
2019-05-28 10:20:56,633 | INFO | DefaultCamelContext.java 3195 | Total 1 routes, of which 1 are started
2019-05-28 10:20:56,635 | INFO | DefaultCamelContext.java 3207 | Apache Camel 2.20.1 (CamelContext: camel-1) started in 0.297 seconds
2019-05-28 10:20:56,655 | ERROR | CamelLogger.java 204 | Failed delivery for (MessageId: ID-DProkopiuk-W10-1559028056178-0-2 on ExchangeId: ID-DProkopiuk-W10-1559028056178-0-1). Exhausted after delivery attempt: 1 caught: java.util.NoSuchElementException

Message History
---------------------------------------------------------------------------------------------------------------------------------------
RouteId              ProcessorId          Processor                                                                        Elapsed (ms)
[route1            ] [route1            ] [direct://csvinput                                                             ] [        13]
[route1            ] [process1          ] [Processor@0x39d9314d                                                          ] [         2]

Stacktrace
---------------------------------------------------------------------------------------------------------------------------------------
java.util.NoSuchElementException
	at java.util.StringTokenizer.nextToken(StringTokenizer.java:349)
